interactionId,agentName,duration_ID,duration_CS
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.405
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.206
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.311
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.745
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,2.944
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.845
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.076
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,3.024
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.365
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.077
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,4.044
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.905
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.076
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,2.804
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.025
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.056
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.924
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,3.704
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,2.764
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.232
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.368
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,1.643
581552cd-1371-4ba9-ad9d-8486d98a9c32,59a2d38c-3451-427f-a52f-1245a269db87,399,0.33
